Institution Name,Country/Territory
Instituto Tecnologico de Santo Domingo (INTEC),Dominican Republic
Pontificia Universidade Católica do Rio Grande do Sul,Brazil
Tecnologico de Costa Rica (TEC),Costa Rica
Universidad Autonoma Chapingo,Mexico
Universidad Autonoma de Guadalajara,Mexico
Universidad Autonoma de Nuevo León (UANL),Mexico
Universidad Autonoma del Estado de Hidalgo,Mexico
Universidad Autonoma del Estado de México,Mexico
Universidad Catolica del Norte,Chile
Universidad Central Marta Abreu de Las Villas,Cuba
Universidad Cientifica del Sur,Peru
Universidad de la Frontera (UFRO),Chile
Universidad de Las Americas (UDLA) Ecuador,Ecuador
Universidad de Lima,Peru
Universidad de los Andes,Venezuela
Universidad de Monterrey,Mexico
Universidad de Valparaiso,Chile
Universidad del Desarrollo,Chile
Universidad del Norte,Colombia
Universidad del Valle de Guatemala (UVG),Guatemala
Universidad Industrial de Santander,Colombia
Universidad Jesuita de Guadalajara - ITESO,Mexico
Universidad Nacional Costa Rica,Costa Rica
Universidad Nacional de Asuncion,Paraguay
Universidad Nacional de Cuyo,Argentina
Universidad Nacional de Ingenieria Peru,Peru
Universidad Nacional de San Luis,Argentina
Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina
Universidad Nacional del Litoral,Argentina
Universidad Peruana de Ciencias Aplicadas (UPC),Peru
Universidad Tecnologica de Panamá (UTP),Panama
Universidad Tecnologica Nacional (UTN),Argentina
Universidade do Estado do Rio de Janeiro (UERJ),Brazil
Universidade Federal da Bahia,Brazil
Universidade Federal de Pernambuco (UFPE),Brazil
Universidade Federal de Santa Maria,Brazil
Universidade Federal de Vicosa,Brazil
Universidade Federal do Ceara (UFC),Brazil
Universidade Federal Fluminense,Brazil
Universidade Presbiteriana Mackenzie,Brazil
Escuela Politecnica Nacional,Ecuador
Pontificia Universidad Catolica Madre y Maestra (PUCMM),Dominican Republic
Universidad Autonoma de Baja California,Mexico
Universidad Autonoma de Chile,Chile
Universidad Catolica de Temuco,Chile
Universidad de Cuenca,Ecuador
Universidad de Guanajuato,Mexico
Universidad de Panama,Panama
Universidad de Piura,Peru
Universidad de Tarapaca,Chile
Universidad del Bio-Bio,Chile
Universidad del Zulia,Venezuela
Universidad La Salle (ULSA),Mexico
Universidad Latinoamericana de Ciencia y Tecnologia Costa Rica (ULACIT),Costa Rica
Universidad Metropolitana,Venezuela
Universidad Nacional Agraria la Molina,Peru
Universidad Nacional de San Martin (UNSAM),Argentina
Universidad Nacional del Sur,Argentina
Universidad Tecnologica Centroamericana (UNITEC) - Honduras,Honduras
Universidade Federal de Uberlandia,Brazil
Universidade Federal do Rio Grande Do Norte,Brazil
Universidad de Ingenieria y Tecnologia (UTEC),Peru
Universidad Cientifica del Sur,Peru
